Product name, Selling price, Normal price, Amount in stock
iPhone 6s 32 GB (tähtiharmaa),329 ,329 ,(100+)
Nokia 6.1 (2018) älypuhelin (musta/kupari),159 ,199,alkavat
Huawei Nova 3 älypuhelin (musta),299 ,399,(100+)
Huawei Nova 3 älypuhelin (violetti),299 ,399,Out of Stock
Sony Xperia XZ2 Compact älypuhelin (musta),299 ,499,(100+)
Samsung Galaxy J6 2018 älypuhelin (kulta),149 ,149 ,(100+)
Samsung Galaxy A6+ älypuhelin (musta),269 ,269 ,(100+)
Samsung Galaxy J6 2018 älypuhelin (musta),149 ,149 ,(100+)
iPhone 8 64 GB (hopea),649 ,649 ,(100+)
Nokia 6.1 (2018) älypuhelin (sininen/kulta),159 ,199,Out of Stock
OnePlus 6 älypuhelin 128 GB (peilimusta),519 ,519 ,(100+)
iPhone 8 64 GB (kulta),649 ,649 ,(100+)
Huawei Nova 3 älypuhelin (sininen),299 ,399,(100+)
Huawei P Smart älypuhelin (musta),139 ,139 ,(100+)
Huawei Mate 10 Pro älypuhelin (harmaa),399 ,399 ,(100+)
Nokia 5.1 älypuhelin (musta),129 ,149,(100+)
OnePlus 6 älypuhelin 128 GB (valkoinen),529 ,529 ,(100+)
Samsung Galaxy A6+ älypuhelin (kulta),269 ,269 ,(100+)
Huawei Mate 10 Pro älypuhelin (mokkakulta),399 ,399 ,(100+)
Nokia 3310 matkapuhelin (tummansininen),49 ,49 ,(100+)
Nokia 5.1 älypuhelin (kupari),129 ,149,(100+)
iPhone 8 Plus 64 GB (tähtiharmaa),779 ,779 ,alk.
Huawei P20 Lite 64GB älypuhelin (Sakura-pinkki),249 ,249 ,(100+)
Nokia 3.1 (2018) älypuhelin (musta),95 ,95 ,Out of Stock
Samsung Galaxy A7 2018 älypuhelin (kulta),299 ,299 ,(100+)
iPhone 8 Plus 64 GB (kulta),779 ,779 ,alkavat
iPhone 8 Plus 64 GB (hopea),779 ,779 ,alkavat
Huawei P20 Pro 128GB älypuhelin (musta),699 ,749,(100+)
Huawei P Smart älypuhelin (sininen),139 ,139 ,(100+)
Nokia 3.1 (2018) älypuhelin (valkoinen),95 ,95 ,Out of Stock
Nokia 8110 4G matkapuhelin (musta),59 ,69,(100+)
Samsung Galaxy A6 älypuhelin (musta),199 ,199 ,(100+)
Nokia 1 älypuhelin (sininen),59 ,59 ,alkavat
Nokia 5.1 älypuhelin (sininen),129 ,149,(50+)
Samsung Galaxy S9 älypuhelin (musta),699 ,699 ,(100+)
Sony Xperia XZ2 Compact älypuhelin (korallinpunainen),299 ,499,(50+)
Sony Xperia XZ2 Compact älypuhelin (valkohopea),299 ,499,Out of Stock
iPhone XR 64 GB (musta),869 ,869 ,(100+)
Honor 9 Lite älypuhelin 32 GB (jäänharmaa),149 ,149 ,alkavat
iPhone X 64 GB (hopea),899 ,899 ,alk.
Nokia 7 Plus älypuhelin (musta kupari),349 ,349 ,Out of Stock
Huawei Mate 20 Lite älypuhelin 64 GB (musta),329 ,329 ,(100+)
Huawei P Smart älypuhelin (kulta),139 ,139 ,(100+)
Nokia 7 Plus älypuhelin (valkoinen kupari),349 ,349 ,(100+)
OnePlus 6 älypuhelin 64 GB (peilimusta),499 ,499 ,(50+)
Samsung Galaxy A7 2018 älypuhelin (musta),299 ,299 ,alkavat
Huawei Honor 8X älypuhelin (punainen),299 ,299 ,(25+)
Honor 9 Lite älypuhelin 32 GB (yönmusta),149 ,199,(5+)
iPhone 8 64 GB (tähtiharmaa),649 ,649 ,alk.
iPhone X 64 GB (tähtiharmaa),899 ,899 ,alk.
Doro 5517 matkapuhelin (punainen),69 ,69 ,alkavat
Doro 8020X älypuhelin (musta),129 ,129 ,(100+)
Huawei Mate 20 Lite älypuhelin 64 GB (kulta),329 ,329 ,(100+)
Nokia 1 älypuhelin (punainen),59 ,59 ,Out of Stock
Nokia 3.1 (2018) älypuhelin (sininen),95 ,95 ,alkavat
Nokia 3310 matkapuhelin (harmaa),49 ,49 ,(100+)
Samsung Galaxy S8 älypuhelin (hopea),399 ,499,(25+)
Samsung Galaxy S9 Plus älypuhelin (musta),799 ,799 ,(100+)
Samsung Galaxy A7 2018 älypuhelin (sininen),299 ,299 ,alkavat
Nokia 7.1 älypuhelin (sininen),299 ,299 ,(100+)
Doro 1362 matkapuhelin (musta),59 ,59 ,Out of Stock
Doro 5031 matkapuhelin (punainen),49 ,49 ,(5+)
Huawei P20 64 GB älypuhelin (musta),439 ,439 ,Out of Stock
Huawei P20 Lite 64GB älypuhelin (yönmusta),249 ,249 ,(5+)
Huawei P20 Pro 128GB älypuhelin (violetti),699 ,749,(100+)
Nokia 2.1 älypuhelin (sininen/hopea),119 ,119 ,(100+)
Samsung Galaxy A6 älypuhelin (kulta),199 ,199 ,(100+)
Samsung Galaxy J7 2017 älypuhelin (kulta),199 ,229,Out of Stock
Samsung Galaxy S9 Plus älypuhelin (sininen),799 ,799 ,(100+)
Sony Xperia XA1 Dual SIM (musta),169 ,199,Out of Stock
Sony Xperia XZ2 Compact älypuhelin (sammaleenvihreä),299 ,499,Out of Stock
iPhone 7 32 GB (musta),449 ,449 ,Out of Stock
Huawei Y6 2018 älypuhelin (musta),99 ,99 ,Out of Stock
iPhone Xs 256 GB (tähtiharmaa),1 349 ,1 349 ,(25+)
iPhone Xs 64 GB (tähtiharmaa),1 179 ,1 179 ,(100+)
iPhone XR 64 GB (valkoinen),869 ,869 ,alk.
iPhone Xs Max 64 GB (tähtiharmaa),1 279 ,1 279 ,(100+)
iPhone XR 64 GB (punainen),869 ,869 ,alk.
iPhone Xs Max 256 GB (kulta),1 449 ,1 449 ,alk.
Samsung Galaxy J6 Plus älypuhelin (musta),239 ,239 ,(100+)
Samsung Galaxy A9 2018 älypuhelin (sinivihreä),599 ,599 ,(100+)
Huawei P Smart 2019 älypuhelin (midnight black),249 ,249 ,Out of Stock
Huawei P Smart 2019 älypuhelin (aurora blue),249 ,249 ,Out of Stock
iPhone 6 32 GB (tähtiharmaa),289 ,289 ,Out of Stock
iPhone 8 256 GB (kulta),849 ,849 ,Out of Stock
iPhone 8 Plus 256 GB (tähtiharmaa),949 ,949 ,Out of Stock
Caterpillar B30 matkapuhelin,69 ,69 ,(25+)
CAT S31 älypuhelin (musta),279 ,279 ,alkavat
Doro 5031 matkapuhelin (musta),49 ,49 ,(100+)
Doro 5517 matkapuhelin (musta),69 ,69 ,(50+)
Doro 7070 matkapuhelin (punainen),189 ,189 ,(100+)
Doro 8040 älypuhelin (harmaa),229 ,229 ,(100+)
Huawei Mate 20 Lite älypuhelin 64 GB (sininen),329 ,329 ,(100+)
Huawei P20 Lite 64GB älypuhelin (sininen),249 ,249 ,(100+)
Motorola Moto G6 Plus älypuhelin (tummansininen),279 ,279 ,Out of Stock
Motorola Moto G6 älypuhelin (hopea),199 ,199 ,(100+)
Nokia 8110 4G matkapuhelin (keltainen),59 ,69,(100+)
Samsung Galaxy A8 2018 älypuhelin (musta),299 ,299 ,Out of Stock
Samsung Galaxy S8 Plus älypuhelin (musta),529 ,599,Out of Stock
Samsung Galaxy S9 älypuhelin (sininen),699 ,699 ,(100+)
Sony Xperia XA1 Dual SIM (kulta),169 ,199,Out of Stock
Sony Xperia XA2 Dual-SIM älypuhelin (musta),299 ,299 ,(100+)
Sony Xperia XZ3 älypuhelin (musta),799 ,799 ,(100+)
Swisstone SC1550 Dual-SIM matkapuhelin (musta),49 ,49 ,Out of Stock
Samsung Galaxy Xcover 4 älypuhelin (musta),195 ,195 ,(100+)
Cat B35 4G matkapuhelin musta),119 ,119 ,(50+)
iPhone Xs 512 GB (hopea),1 499 ,1 499 ,Out of Stock
iPhone XR 64 GB (keltainen),869 ,869 ,Out of Stock
iPhone Xs Max 256 GB (hopea),1 449 ,1 449 ,(50+)
iPhone Xs 256 GB (hopea),1 349 ,1 349 ,(100+)
iPhone Xs 256 GB (kulta),1 349 ,1 349 ,(100+)
iPhone XR 128 GB (keltainen),939 ,939 ,(5+)
iPhone Xs Max 512 GB (tähtihopea),1 679 ,1 679 ,Out of Stock
iPhone Xs 64 GB (hopea),1 179 ,1 179 ,(100+)
iPhone XR 64 GB (sininen),869 ,869 ,Out of Stock
iPhone Xs 512 GB (kulta),1 579 ,1 579 ,Out of Stock
iPhone Xs Max 64 GB (hopea),1 279 ,1 279 ,(100+)
iPhone Xs 512 GB (tähtiharmaa),1 579 ,1 579 ,Out of Stock
iPhone XR 128 GB (musta),939 ,939 ,alk.
iPhone XR 64 GB (korallinpunainen),869 ,869 ,alk.
iPhone Xs Max 512 GB (hopea),1 679 ,1 679 ,Out of Stock
iPhone Xs Max 256 GB (tähtiharmaa),1 449 ,1 449 ,(100+)
iPhone XR 128 GB (valkoinen),939 ,939 ,alk.
iPhone XR 256 GB (musta),1 049 ,1 049 ,Out of Stock
iPhone Xs 64 GB (kulta),1 179 ,1 179 ,(100+)
iPhone Xs Max 64 GB (kulta),1 279 ,1 279 ,(100+)
iPhone Xs Max 512 GB (kulta),1 679 ,1 679 ,Out of Stock
Huawei Mate 20 Pro älypuhelin (twilight),999 ,999 ,(100+)
Huawei Mate 20 Pro älypuhelin (musta),999 ,999 ,(100+)
Huawei Mate 20 Pro älypuhelin (sininen),999 ,999 ,(100+)
Samsung Galaxy J4 Plus -älypuhelin (musta),149 ,149 ,alkavat
Samsung Galaxy A9 2018 älypuhelin (musta),599 ,599 ,(100+)
Samsung Galaxy J6 Plus älypuhelin (harmaa),239 ,239 ,(100+)
Samsung Galaxy J4 Plus -älypuhelin (kulta),149 ,149 ,(50+)
Nokia 7.1 älypuhelin (teräs),299 ,299 ,(100+)
Samsung Galaxy A9 2018 älypuhelin (pinkki),599 ,599 ,Out of Stock
Huawei Honor 8X älypuhelin (sininen),299 ,299 ,(25+)
Honor 9 Lite älypuhelin 32 GB (safiirinsininen),149 ,199,Out of Stock
Honor 10 älypuhelin 128 GB (sininen),399 ,399 ,(50+)
Honor Play älypuhelin 64 GB (violetti),299 ,299 ,(25+)
Honor Play älypuhelin 64 GB (yönmusta),299 ,299 ,(25+)
Honor Play älypuhelin 64 GB (laivastonsininen),299 ,299 ,(100+)
iPhone 7 32 GB (peilimusta),449 ,449 ,Out of Stock
iPhone 8 256 GB (tähtiharmaa),849 ,849 ,Out of Stock
iPhone 8 256 GB (tähtiharmaa),849 ,849 ,Out of Stock
iPhone 8 256 GB (kulta),849 ,849 ,Out of Stock
iPhone 8 256 GB (hopea),849 ,849 ,Out of Stock
iPhone 8 256 GB (hopea),849 ,849 ,Out of Stock
iPhone 8 Plus 256 GB (tähtiharmaa),949 ,949 ,Out of Stock
iPhone 8 Plus 256 GB (hopea),949 ,949 ,Out of Stock
iPhone X 256 GB (tähtiharmaa),1 099 ,1 099 ,(100+)
iPhone X 256 GB (hopea),1 099 ,1 099 ,Out of Stock
CAT S41 älypuhelin (musta),429 ,429 ,(5+)
Cat S60 älypuhelin (musta/hopea),499 ,499 ,(50+)
Cat S61 älypuhelin (musta),899 ,899 ,alkavat
Doro 1362 matkapuhelin (valkoinen),59 ,59 ,alkavat
Doro 2424 matkapuhelin (harmaa),99 ,99 ,Out of Stock
Doro 2424 matkapuhelin (punainen),99 ,99 ,alkavat
Doro PhoneEasy 509 matkapuhelin (harm.),99 ,99 ,(100+)
Doro PhoneEasy 530X matkapuhelin,99 ,99 ,(50+)
Doro 540X matkapuhelin (musta),119 ,119 ,(50+)
Doro 6521 matkapuhelin (harmaa/valkoinen),129 ,129 ,(100+)
Doro 6521 matkapuhelin (punainen/valkoinen),129 ,129 ,alkavat
Doro 6526 matkapuhelin (teräs/valkoinen),159 ,159 ,(50+)
Doro 7070 matkapuhelin (musta),189 ,189 ,(50+)
Doro 8035 älypuhelin (harmaa/sininen),189 ,189 ,(100+)
HTC U11 älypuhelin (musta),497 ,497 ,Out of Stock
HTC U12+ älypuhelin (musta),729 ,729 ,(5+)
HTC U12+ älypuhelin (sininen),729 ,729 ,(5+)
Honor 10 älypuhelin 64 GB (musta),329 ,329 ,(5+)
Honor 10 älypuhelin 64 GB (sininen),329 ,329 ,alkavat
Honor 10 älypuhelin 64 GB (jäänharmaa),329 ,329 ,(5+)
Honor 5X älypuhelin (kulta),199 ,199 ,Out of Stock
Honor 5X älypuhelin (harmaa),199 ,199 ,Out of Stock
Honor 5X älypuhelin (hopea),199 ,199 ,Out of Stock
Honor 6X älypuhelin (hopea),222 ,222 ,Out of Stock
Huawei P20 64 GB älypuhelin (yönsininen),439 ,439 ,(50+)
Huawei P20 64 GB älypuhelin (violetti),439 ,439 ,Out of Stock
Huawei P20 128GB älypuhelin (yönsininen),449 ,449 ,Out of Stock
Huawei P20 128GB älypuhelin (pinkki kulta),449 ,449 ,Out of Stock
Land Rover Explore älypuhelin,649 ,649 ,(100+)
LG G5 SE älypuhelin (harmaa),399 ,399 ,Out of Stock
LG G7 ThinQ älypuhelin (yönsininen),499 ,499 ,Out of Stock
